part_num,ldraw_part_id
0901,0901
0902,0902
0903,0903
0904,0904
1,1
10039,10039
10048,10048
10049,10049
10049pr0001,10049
10050,10050
10051,10051
10051pr0001,10051
10052,10052
10053,10053
10054,10054
10054pr0001,10054
10054pr0002,10054
10055pr0001,10055
10057,10057
10057pr0001,10057
10057pr0002,10057
10058,10058
10066pr0001,10066
10066pr0002,10066
10066pr0003,10066
100907pat0001,100907
100942pat0001,100942
100943,100943
10095,10095
10113,10113
10113pr0001,10113
10113pr0002,10113
10113pr0003,10113
10113pr0004,10113
10113pr9999,10113
10124,10124
10124pr0001,10124
10124pr0002,10124
10124pr0011,10124
10126,10126
10127,10127
10128pr0001,10128
10128pr0002,10128
10128pr0003,10128
10154,10154
10154pr0001,10154
10154pr0002,10154
10154pr0006,10154
10154pr0011,10154
10164,10164
10164pr0001,10164
10164pr0002,10164
10168,10168
10168pr0001,10168
10169,10169
10169pr0001,10169
10169pr0002,10169
10169pr0003,10169
10170,10170
10172,10172
10172pr0001,10172
101777pr0001,101777
101777pr0002,101777
101777pr0003,101777
10178,10178
10178pr0001,10178
10178pr0002,10178
10178pr0003,10178
10178pr0004,10178
10178pr0005,10178
10178pr0006,10178
10178pr0007,10178
10178pr0008,10178
10183,10183
10183pr0001,10183
10183pr0002,10183
10187,10187
10190,10190
10197,10197
10201,10201
10202,10202
10202pr0001,10202
10202pr0002,10202
10202pr0003,10202
10202pr0004,10202
10202pr0005,10202
10202pr0006,10202
10202pr0007,10202
10202pr0008,10202
10202pr0009,10202
10202pr0010,10202
10202pr0011,10202
10202pr0012,10202
10202pr0013,10202
10202pr0014,10202
10202pr0015,10202
10202pr0016,10202
10202pr0017,10202
10202pr0018,10202
10202pr0021,10202
10202pr0022,10202
10202pr9998,10202
10202pr9999,10202
102285pr0001,102285
10247,10247
10247c01,10247
102498pat0001,102498
10288,10288
10304pr0001,10304
10304pr0002,10304
10305pr0001,10305
10305pr0002,10305
10312,10312
10312pr0001,10312
10312pr0002,10312
10312pr0004,10312
10312pr0005,10312
10312pr0006,10312
10312pr0009,10312
10312pr0010,10312
10312pr0011,10312
10314,10314
10314pr0001,10314
10314pr0002,10314
10314pr1003,10314
10314pr1004,10314
10314pr1005,10314
10314pr9996,10314
10314pr9997,10314
10314pr9998,10314
10314pr9999,10314
103918pat0001,103918
104,104
10509,10509
10509pr0001,10509
10509pr0002,10509
10509pr0003,10509
10509pr0004,10509
10509pr0005,10509
10509pr0006,10509
10509pr0007,10509
10509pr0008,10509
10509pr0009,10509
10509pr0011,10509
105162,105162
105162pr0001,105162
105162pr0002,105162
105162pr0003,105162
105196pr0001,105196
105645pat0001,105645
10661,10661
10677pr0001,10677
10677pr0002,10677
10677pr0003,10677
10677pr0004,10677
10677pr0005,10677
10677pr0006,10677
10677pr0007,10677
10830pat0001,10830
10884,10884
109,109
10907,10907
10907pr0001,10907
10907pr0002,10907
10908pr0001,10908
10908pr0002,10908
10908pr0003,10908
10908pr0004,10908
10908pr0005,10908
10908pr0006,10908
10908pr0007,10908
10908pr0008,10908
10908pr0009,10908
10908pr0010,10908
